100075 dugong 0.14363,stingray 0.13328,sea lion 0.08063,electric ray 0.06614,otter 0.04386,
100080 quill 0.10924,nematode 0.05702,velvet 0.03796,sandbar 0.03772,lakeside 0.03523,
100098 electric ray 0.11112,stingray 0.05861,coral reef 0.05375,valley 0.04667,jackfruit 0.03784,
103041 wing 0.09045,bullet train 0.05562,warplane 0.03945,ptarmigan 0.03917,airship 0.03539,
104022 geyser 0.11237,zebra 0.06516,soccer ball 0.04384,tiger 0.04145,dam 0.03523,
105019 wood rabbit 0.09760,mongoose 0.06120,armadillo 0.05178,warthog 0.04523,conch 0.04298,
105053 horned viper 0.10247,warthog 0.06936,sidewinder 0.05113,hyena 0.03391,hartebeest 0.02900,
106020 sea cucumber 0.06729,stingray 0.04562,nematode 0.02961,golf ball 0.02269,hammerhead 0.02080,
106025 goldfish 0.18564,gar 0.08050,starfish 0.07192,sturgeon 0.05372,barracouta 0.05184,
108041 tiger 0.09588,zebra 0.09263,chainlink fence 0.06441,spider web 0.06210,tiger cat 0.02029,
108073 tiger 0.23964,zebra 0.09513,lionfish 0.03794,panpipe 0.03065,flatworm 0.02672,
109034 stole 0.06572,quilt 0.06479,volcano 0.05892,thunder snake 0.04081,bath towel 0.02724,
112082 velvet 0.03192,electric ray 0.02975,Mexican hairless 0.02147,maillot 0.02003,Great Dane 0.01707,
113009 gazelle 0.06123,impala 0.04716,picket fence 0.04216,dhole 0.03916,worm fence 0.03419,
113016 stingray 0.12276,snorkel 0.09483,brassiere 0.03946,shovel 0.03208,hammerhead 0.03164,
113044 brassiere 0.10767,cowboy boot 0.07466,stingray 0.04502,electric ray 0.03949,mailbag 0.02970,
117054 stingray 0.20030,electric ray 0.12273,megalith 0.03741,leatherback turtle 0.02761,Arabian camel 0.02188,
118020 seashore 0.12024,sandbar 0.08061,iron 0.05909,liner 0.04859,bell cote 0.04405,
118035 balloon 0.23943,envelope 0.08885,red wine 0.08616,toilet seat 0.04425,photocopier 0.02748,
12003 cucumber 0.24400,guacamole 0.05387,sea cucumber 0.05036,common newt 0.04939,corn 0.03115,
12074 platypus 0.12082,space shuttle 0.10476,loggerhead 0.04986,tiger shark 0.04317,missile 0.04315,
122048 strainer 0.11323,hourglass 0.09306,goblet 0.07006,beaker 0.05417,spotlight 0.03962,
124084 daisy 0.88939,sulphur butterfly 0.05258,ringlet 0.01497,bee 0.01301,sea urchin 0.00325,
126039 mosquito net 0.21756,wing 0.06527,park bench 0.05994,refrigerator 0.04126,window shade 0.03621,
130034 maze 0.09036,mongoose 0.06663,valley 0.06010,dishrag 0.04773,stone wall 0.03324,
134008 cheetah 0.42709,bustard 0.06993,gazelle 0.03550,mongoose 0.02568,dingo 0.02040,
134052 chain mail 0.10432,horned viper 0.09774,water snake 0.07397,honeycomb 0.05878,sidewinder 0.05442,
135037 three-toed sloth 0.07696,hammerhead 0.06378,jigsaw puzzle 0.05345,mortarboard 0.01942,broccoli 0.01696,
135069 warplane 0.13585,airship 0.10132,wing 0.08440,wall clock 0.03763,envelope 0.03737,
138032 wool 0.51312,dishrag 0.10586,brain coral 0.07540,swab 0.06645,komondor 0.03641,
138078 slide rule 0.14721,tile roof 0.06473,walking stick 0.05274,computer keyboard 0.04794,envelope 0.04422,
140055 dishrag 0.14985,maze 0.11306,worm fence 0.05369,alp 0.04661,lakeside 0.03672,
140075 Christmas stocking 0.10900,clog 0.10581,honeycomb 0.08609,cleaver 0.04679,candle 0.03639,
144067 seashore 0.29366,promontory 0.09916,cliff 0.08264,brain coral 0.06439,alp 0.05393,
145014 window shade 0.03787,Windsor tie 0.03705,sarong 0.02321,bulletproof vest 0.02202,apron 0.01924,
145053 chime 0.15452,window shade 0.15163,electric fan 0.08928,table lamp 0.04590,four-poster 0.04125,
147021 window shade 0.29008,shopping cart 0.22879,seashore 0.11161,sandbar 0.06394,lakeside 0.01857,
147062 plow 0.12890,seashore 0.06644,ox 0.03380,window shade 0.03037,table lamp 0.02896,
15004 quill 0.05293,gar 0.03081,Windsor tie 0.02869,platypus 0.02261,ear 0.02088,
15088 window shade 0.16547,menu 0.09730,slide rule 0.09528,binder 0.08418,seashore 0.03481,
151087 screw 0.05511,hook 0.02951,revolver 0.02073,reel 0.02061,terrapin 0.01869,
153077 ice lolly 0.08777,tench 0.04081,ice cream 0.03617,butternut squash 0.02724,ear 0.02469,
153093 parallel bars 0.11529,book jacket 0.07216,horizontal bar 0.06332,dumbbell 0.03019,balance beam 0.02513,
155060 sandbar 0.09887,broom 0.08278,geyser 0.08208,volcano 0.08092,cliff 0.08076,
156079 hammerhead 0.17872,pinwheel 0.16178,dugong 0.06615,coral reef 0.03189,snorkel 0.03149,
157036 spider web 0.06455,cassette 0.04988,screw 0.04335,plastic bag 0.03874,tape player 0.03545,
159029 snow leopard 0.23835,ice bear 0.04733,meerkat 0.03333,leopard 0.03005,sea lion 0.02452,
159045 sea anemone 0.20307,pot 0.11015,porcupine 0.03137,hamster 0.03081,handkerchief 0.02865,
159091 puffer 0.08786,diamondback 0.05547,water snake 0.03480,brain coral 0.03224,spider web 0.02490,
16052 spider web 0.10068,walking stick 0.06627,cougar 0.05219,jackfruit 0.02887,baboon 0.02677,
161062 envelope 0.48919,rule 0.07525,paper towel 0.04795,slide rule 0.04701,Band Aid 0.03347,
163014 quill 0.08383,nematode 0.05001,lacewing 0.04016,spider monkey 0.02812,hummingbird 0.02577,
163062 quill 0.10079,lacewing 0.05539,ear 0.04382,cauliflower 0.04160,African chameleon 0.04040,
164074 honeycomb 0.15098,brain coral 0.14803,puffer 0.10036,strainer 0.06788,eel 0.04586,
166081 nematode 0.17731,brass 0.07900,rule 0.06580,slide rule 0.06548,sandbar 0.06236,
169012 corn 0.39697,ear 0.22258,confectionery 0.06151,pineapple 0.03556,honeycomb 0.03081,
170054 slide rule 0.09750,rule 0.03436,military uniform 0.02904,bulletproof vest 0.02446,cowboy boot 0.02427,
172032 snorkel 0.11212,envelope 0.10358,spatula 0.03365,binder 0.03224,washer 0.02738,
173036 seashore 0.16733,spider web 0.10054,porcupine 0.05967,lacewing 0.05495,sandbar 0.04274,
176019 pedestal 0.09786,lakeside 0.09441,megalith 0.07905,stone wall 0.06675,valley 0.03813,
176035 nematode 0.14188,dugong 0.10159,stingray 0.09832,tiger shark 0.05344,valley 0.04278,
176039 stingray 0.12462,coral reef 0.08898,jellyfish 0.05409,loggerhead 0.05087,hammerhead 0.04721,
178054 nematode 0.23989,electric fan 0.13771,window shade 0.07935,rule 0.04893,envelope 0.04330,
181018 piggy bank 0.04603,seat belt 0.03890,sweatshirt 0.03010,electric fan 0.02975,tub 0.02884,
181079 shower curtain 0.11782,harp 0.08060,accordion 0.03803,wig 0.03522,shower cap 0.03326,
181091 Windsor tie 0.05457,mousetrap 0.03869,dam 0.03659,abaya 0.02997,stole 0.02805,
183055 harvestman 0.11575,bathtub 0.06933,tub 0.04925,paper towel 0.04812,shower curtain 0.04098,
183087 paper towel 0.17461,nematode 0.06513,alp 0.02649,spider web 0.02648,plastic bag 0.02335,
187003 mosquito net 0.15867,sea lion 0.04706,shower curtain 0.04073,platypus 0.03467,paddlewheel 0.02397,
187029 abaya 0.16845,bulletproof vest 0.12105,perfume 0.11232,goblet 0.07304,hair slide 0.06602,
187039 zebra 0.35810,trilobite 0.02790,tiger 0.02741,velvet 0.02224,stole 0.01933,
187071 envelope 0.20137,cliff dwelling 0.09795,alp 0.09224,bib 0.07607,volcano 0.05294,
187083 bath towel 0.08592,swing 0.07160,plastic bag 0.06601,coil 0.04580,handkerchief 0.03582,
188005 grey whale 0.12828,goblet 0.08576,table lamp 0.06113,poncho 0.04004,great white shark 0.03647,
188063 seashore 0.11095,envelope 0.06765,wing 0.05614,ice bear 0.04558,sandbar 0.03675,
188091 nematode 0.26588,grey whale 0.12027,seashore 0.06210,wing 0.03398,bubble 0.02849,
189003 neck brace 0.12446,bathing cap 0.08833,sunscreen 0.06462,ski mask 0.04470,hair spray 0.03905,
189011 hourglass 0.11633,pick 0.09523,paper towel 0.05499,cleaver 0.05427,sundial 0.03635,
196015 stingray 0.13413,volcano 0.12123,electric ray 0.06060,spider web 0.05815,ptarmigan 0.03375,
198004 ocarina 0.17582,feather boa 0.05313,remote control 0.03815,mask 0.03263,shower curtain 0.02872,
198023 envelope 0.08533,Christmas stocking 0.07947,apron 0.05062,window screen 0.03963,brassiere 0.03370,
198054 leopard 0.11079,honeycomb 0.08396,jaguar 0.06430,snow leopard 0.05218,jellyfish 0.03633,
20008 stingray 0.13933,picket fence 0.05894,nematode 0.05536,lakeside 0.05243,alp 0.04504,
202012 impala 0.10474,cougar 0.08264,wallaby 0.08183,gyromitra 0.06531,wood rabbit 0.05339,
207056 stingray 0.24659,electric ray 0.12091,hammerhead 0.10078,sturgeon 0.09927,velvet 0.04126,
209070 puffer 0.32717,brain coral 0.06008,eel 0.05494,lionfish 0.04664,green snake 0.04034,
2092 centipede 0.11129,American alligator 0.08467,lacewing 0.06975,isopod 0.06130,water snake 0.04739,
216041 plow 0.07065,warplane 0.06842,snowplow 0.05381,missile 0.04572,horse cart 0.04313,
216053 dam 0.06517,sandbar 0.06126,park bench 0.06107,lakeside 0.04869,seashore 0.04597,
216066 volcano 0.08106,seashore 0.07207,sandbar 0.04793,grey whale 0.03638,geyser 0.03029,
22013 picket fence 0.12354,steel arch bridge 0.12251,bannister 0.10441,flute 0.04558,parallel bars 0.03655,
22090 envelope 0.10945,seashore 0.03963,nematode 0.03888,gar 0.02880,broom 0.02312,
22093 park bench 0.15877,lakeside 0.12365,seashore 0.06670,folding chair 0.05541,stretcher 0.04473,
225017 alp 0.41886,jigsaw puzzle 0.09819,envelope 0.05334,plastic bag 0.02185,handkerchief 0.01834,
227040 slide rule 0.19477,pedestal 0.08113,ashcan 0.04888,envelope 0.02680,beaker 0.01995,
227046 dam 0.14102,stone wall 0.05220,viaduct 0.04113,paper towel 0.03580,wool 0.02786,
23025 paper towel 0.05916,perfume 0.04617,sunglass 0.03223,eggnog 0.02774,water bottle 0.02643,
