100007 sandbar 0.11395,rule 0.07043,slide rule 0.05106,seashore 0.04953,window shade 0.03778,
100039 dishrag 0.07135,stole 0.06647,fox squirrel 0.06442,wool 0.03882,window screen 0.03645,
100099 honeycomb 0.04720,dishrag 0.04218,brain coral 0.03878,sandbar 0.03315,lakeside 0.03079,
10081 slide rule 0.15392,folding chair 0.07983,photocopier 0.07489,ballpoint 0.04770,letter opener 0.03200,
101027 stingray 0.13448,coral reef 0.12775,brain coral 0.08856,sea snake 0.05619,starfish 0.04090,
101084 nematode 0.17155,honeycomb 0.16653,green mamba 0.15456,vine snake 0.09223,bonnet 0.04042,
102062 rocking chair 0.05440,cradle 0.03893,folding chair 0.02876,thresher 0.02616,bassinet 0.02096,
103006 whiptail 0.17409,cliff dwelling 0.05290,sturgeon 0.03103,abaya 0.03090,walking stick 0.02979,
103029 stingray 0.29013,dugong 0.15741,electric ray 0.13119,hammerhead 0.03592,golf ball 0.03202,
103078 nematode 0.09213,seashore 0.05356,common iguana 0.03572,valley 0.03264,promontory 0.03161,
104010 bittern 0.15384,cliff dwelling 0.11400,cliff 0.02589,trilobite 0.02161,box turtle 0.01861,
104055 sandbar 0.22332,seashore 0.14978,radio telescope 0.04465,lakeside 0.04204,alp 0.03363,
105027 walking stick 0.12251,quill 0.06048,whiptail 0.05645,cliff dwelling 0.04198,cowboy boot 0.03914,
106005 computer keyboard 0.07981,paper towel 0.02965,nipple 0.02946,hourglass 0.02331,mouse 0.02173,
106047 computer keyboard 0.07772,honeycomb 0.03964,nail 0.03285,chainlink fence 0.02539,screw 0.02201,
107014 spider web 0.10291,stingray 0.08404,bustard 0.05890,brassiere 0.05309,bittern 0.03437,
107045 maillot 0.05479,gazelle 0.04420,brassiere 0.03167,whiptail 0.03097,handkerchief 0.02989,
107072 plow 0.10081,bath towel 0.06898,cliff dwelling 0.06397,slide rule 0.05059,envelope 0.04944,
108004 trilobite 0.14756,tiger 0.09750,brain coral 0.05987,centipede 0.05904,jaguar 0.04370,
108036 electric fan 0.05136,chambered nautilus 0.02757,drum 0.02388,dam 0.02172,seashore 0.01834,
108069 Gila monster 0.11980,whiptail 0.04571,snow leopard 0.04071,jaguar 0.02670,banded gecko 0.02621,
109055 Gila monster 0.14138,spider web 0.03610,water snake 0.03214,honeycomb 0.01655,Komodo dragon 0.01471,
112056 plastic bag 0.08833,stingray 0.08666,electric ray 0.07020,nipple 0.05486,jellyfish 0.04479,
112090 quilt 0.06885,sandbar 0.05438,sundial 0.03812,seashore 0.03625,slide rule 0.03301,
117025 seashore 0.17763,sandbar 0.12630,paper towel 0.06234,hoopskirt 0.04174,ptarmigan 0.03848,
118015 boathouse 0.15775,quill 0.13062,palace 0.05417,radio telescope 0.05215,solar dish 0.04382,
118031 umbrella 0.20676,slide rule 0.06533,plastic bag 0.04872,schooner 0.04807,yurt 0.03903,
118072 dam 0.15652,honeycomb 0.10108,paper towel 0.06259,shower curtain 0.05851,toilet tissue 0.04184,
120003 paper towel 0.06668,tub 0.06369,seashore 0.04231,bathtub 0.04049,sandbar 0.03778,
120093 drilling platform 0.16972,hamper 0.08950,crossword puzzle 0.06951,rocking chair 0.05375,hair slide 0.04269,
123057 sea lion 0.19279,golf ball 0.03466,soccer ball 0.03133,honeycomb 0.02924,sunglass 0.02119,
128035 knee pad 0.16560,plane 0.07664,bulletproof vest 0.06214,toilet tissue 0.05156,carton 0.03468,
130014 ostrich 0.23328,banded gecko 0.07204,meerkat 0.04578,Indian cobra 0.02696,screw 0.01574,
130066 zebra 0.30875,chambered nautilus 0.11852,screw 0.05514,spotlight 0.05490,electric fan 0.04605,
134049 leopard 0.15868,green mamba 0.10543,chainlink fence 0.04014,water snake 0.03636,solar dish 0.03064,
134067 leopard 0.06841,honeycomb 0.03321,indri 0.03190,jackfruit 0.02979,banded gecko 0.02895,
140006 window shade 0.14818,table lamp 0.12072,cradle 0.06969,lampshade 0.03871,sliding door 0.01835,
140088 bannister 0.15218,broom 0.07828,envelope 0.07361,mobile home 0.03723,barrow 0.03152,
14085 baboon 0.17294,feather boa 0.08069,wig 0.06616,fur coat 0.05197,macaque 0.04445,
14092 porcupine 0.62622,komondor 0.04950,quill 0.03895,black-footed ferret 0.02828,polecat 0.02002,
141012 electric ray 0.16582,whiptail 0.11513,sidewinder 0.05754,horned viper 0.05504,honeycomb 0.03890,
141048 electric ray 0.23821,brain coral 0.10997,sea cucumber 0.08813,flatworm 0.07975,sea snake 0.06797,
145059 racket 0.08453,window shade 0.04911,shower curtain 0.03968,ear 0.03642,electric fan 0.02916,
145079 maze 0.09655,lakeside 0.05187,seashore 0.03062,envelope 0.03042,slide rule 0.02769,
146074 trombone 0.11565,mailbag 0.06547,cleaver 0.03919,horizontal bar 0.02805,parallel bars 0.02702,
147077 cuirass 0.12547,sunglass 0.05907,sunglasses 0.04214,cowboy boot 0.04033,perfume 0.02935,
147080 slide rule 0.18691,window shade 0.08805,diaper 0.05017,window screen 0.04789,handkerchief 0.04074,
15011 umbrella 0.03719,swimming trunks 0.03494,bulletproof vest 0.03196,quill 0.02517,cuirass 0.02160,
15062 swab 0.07785,dishrag 0.06846,shower curtain 0.05337,plastic bag 0.04618,stole 0.04524,
156054 coral reef 0.28153,sea snake 0.07067,parachute 0.05095,jellyfish 0.05094,sea cucumber 0.04632,
157032 parking meter 0.03562,pill bottle 0.02964,spotlight 0.02404,measuring cup 0.02162,plastic bag 0.02138,
157087 plastic bag 0.10992,nipple 0.07416,shower cap 0.04055,sombrero 0.03282,swing 0.02939,
159002 bee 0.06228,spider web 0.05629,dingo 0.03562,ice bear 0.03187,Arctic fox 0.02970,
159022 quill 0.13708,water snake 0.06793,beaver 0.05663,spider web 0.05205,shower curtain 0.04565,
160006 spider web 0.15114,stingray 0.13852,honeycomb 0.05628,electric ray 0.04471,strainer 0.02790,
16004 sulphur butterfly 0.26108,rapeseed 0.18442,lemon 0.13336,fig 0.03679,honeycomb 0.03375,
160067 lycaenid 0.06331,strainer 0.04631,horned viper 0.04614,sidewinder 0.03420,honeycomb 0.03203,
16068 zebra 0.64735,sea anemone 0.08079,brain coral 0.06420,chambered nautilus 0.05461,trilobite 0.03058,
